"Title","Points","Change","Countries","PiCountry","Days","PiDay","Total","MovieLink","Date","Category","Stremaer"
"The Crimes That Bind","18","0%","2","9","1","18","1092","https://flixpatrol.com/title/the-crimes-that-bind","2020-08-30","movie","netflix"
"Jumanji: The Next Level","18","+125%","2","9","1","18","1328","https://flixpatrol.com/title/jumanji-the-next-level","2020-08-30","movie","netflix"
"Raat Akeli Hai","17","+89%","3","6","1","17","615","https://flixpatrol.com/title/raat-akeli-hai","2020-08-30","movie","netflix"
"Despicable Me 2","17","-23%","6","3","1","17","4726","https://flixpatrol.com/title/despicable-me-2","2020-08-30","movie","netflix"
"Psychopath with Piers Morgan","16","0%","2","8","1","16","93","https://flixpatrol.com/title/psychopath-with-piers-morgan","2020-08-30","movie","netflix"
"Inception","14","+17%","3","5","1","14","166","https://flixpatrol.com/title/inception","2020-08-30","movie","netflix"
"The House with a Clock in Its Walls","14","-36%","3","5","1","14","362","https://flixpatrol.com/title/the-house-with-a-clock-in-its-walls","2020-08-30","movie","netflix"
"Saving Private Ryan","13","+8%","3","4","1","13","354","https://flixpatrol.com/title/saving-private-ryan","2020-08-30","movie","netflix"
"Septembers of Shiraz","13","+86%","2","6","1","13","25","https://flixpatrol.com/title/septembers-of-shiraz","2020-08-30","movie","netflix"
"Bee Movie","13","-7%","2","6","1","13","254","https://flixpatrol.com/title/bee-movie","2020-08-30","movie","netflix"
"Kung Fu Panda","11","+38%","5","2","1","11","73","https://flixpatrol.com/title/kung-fu-panda","2020-08-30","movie","netflix"
"SuperFly","11","-27%","3","4","1","11","105","https://flixpatrol.com/title/superfly-2018","2020-08-30","movie","netflix"
"I Love You Two","10","0%","1","10","1","10","30","https://flixpatrol.com/title/i-love-you-two","2020-08-30","movie","netflix"
"The Equalizer 2","10","0%","1","10","1","10","2239","https://flixpatrol.com/title/the-equalizer-2","2020-08-30","movie","netflix"
"Politics","10","0%","1","10","1","10","68","https://flixpatrol.com/title/politics","2020-08-30","movie","netflix"
"Vice","10","-23%","2","5","1","10","40","https://flixpatrol.com/title/vice","2020-08-30","movie","netflix"
"Deepwater Horizon","10","-50%","1","10","1","10","210","https://flixpatrol.com/title/deepwater-horizon","2020-08-30","movie","netflix"
"The Kissing Booth 2","10","-78%","6","2","1","10","12712","https://flixpatrol.com/title/the-kissing-booth-2","2020-08-30","movie","netflix"
"The Frozen Ground","10","+900%","1","10","1","10","11","https://flixpatrol.com/title/the-frozen-ground","2020-08-30","movie","netflix"
"Us, at the End of the Year","10","0%","1","10","1","10","30","https://flixpatrol.com/title/us-at-the-end-of-the-year","2020-08-30","movie","netflix"
"The Lies She Loved","10","0%","1","10","1","10","99","https://flixpatrol.com/title/the-lies-she-loved","2020-08-30","movie","netflix"
"Baba Parasi","9","0%","1","9","1","9","180","https://flixpatrol.com/title/baba-parasi","2020-08-30","movie","netflix"
"Sing","9","0%","1","9","1","9","180","https://flixpatrol.com/title/sing","2020-08-30","movie","netflix"
"Miami Bici","9","0%","1","9","1","9","473","https://flixpatrol.com/title/miami-bici","2020-08-30","movie","netflix"
"The Pocket Hercules Naim","9","-10%","2","4","1","9","338","https://flixpatrol.com/title/the-pocket-hercules-naim","2020-08-30","movie","netflix"
"Pandemic","9","+50%","1","9","1","9","15","https://flixpatrol.com/title/pandemic","2020-08-30","movie","netflix"
