,Wolves,Sheep,ModelParams,Run
245,0,577,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
246,0,606,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
247,0,622,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
248,0,642,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
249,0,665,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
250,0,686,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
251,0,707,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
252,0,742,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
253,0,765,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
254,0,790,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
255,0,826,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
256,0,856,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
257,0,886,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
258,0,925,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
259,0,963,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
260,0,993,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
261,0,1036,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
262,0,1077,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
263,0,1117,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
264,0,1164,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
265,0,1208,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
266,0,1250,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
267,0,1286,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
268,0,1331,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
269,0,1379,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
270,0,1429,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
271,0,1481,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
272,0,1545,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
273,0,1594,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
274,0,1637,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
275,0,1669,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
276,0,1717,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
277,0,1749,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
278,0,1796,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
279,0,1838,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
280,0,1871,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
281,0,1918,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
282,0,1961,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
283,0,1985,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
284,0,2030,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
285,0,2065,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
286,0,2100,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
287,0,2105,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
288,0,2122,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
289,0,2147,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
290,0,2154,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
291,0,2164,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
292,0,2151,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
293,0,2164,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
294,0,2154,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
295,0,2137,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
296,0,2141,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
297,0,2134,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
298,0,2130,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
299,0,2118,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
300,0,2135,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
301,0,2120,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
302,0,2119,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
303,0,2127,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
304,0,2123,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
305,0,2102,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
306,0,2102,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
307,0,2079,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
308,0,2075,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
309,0,2067,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
310,0,2061,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
311,0,2049,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
312,0,2032,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
313,0,2010,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
314,0,2012,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
315,0,2008,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
316,0,2001,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
317,0,1979,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
318,0,1967,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
319,0,1975,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
320,0,1946,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
321,0,1957,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
322,0,1928,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
323,0,1879,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
324,0,1866,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
325,0,1869,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
326,0,1867,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
327,0,1843,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
328,0,1840,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
